"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"1",1,"0:35:56","clippercanoes.com",5,"Sean Chester",NA,"Competitive Open",1
"2",2,"0:36:54","Barron Heating",2,"Phil Mitchell",NA,"Competitive Open",2
"3",3,"0:37:05","BAGELRY",4,"James Lander",NA,"Competitive Open",3
"4",4,"0:37:25","Tony's Demons",331,"B.J. Christenson",NA,"Competitive Open",4
"5",5,"0:37:26","Bank of the Pacific",399,"Chad Trammell",NA,"Veterans",1
"6",6,"0:37:32","Superman sleeps in Chuck Norris Pajamas",299,"Josh Ricardi",NA,"Recreational Open",1
"7",7,"0:37:45","Boomer's Drive-In",66,"Connor Whan",NA,"Competitive Open",5
"8",8,"0:37:53","Klicks Running & Walking",366,"Sam Alexander",NA,"Whatcom County Open",1
"9",9,"0:38:11","Nomad GCS",304,"Jake Stout",NA,"Competitive Open",6
"10",10,"0:38:20","Boss Construction",1,"Kyle Carrick",NA,"Competitive Open",7
"11",11,"0:38:54","Enger Management",287,"Colby Litzenberger",NA,"Recreational Open",2
"12",12,"0:38:56","NW Sleep Solutions",296,"Dusty Caseria",NA,"Competitive Open",8
"13",13,"0:39:14","Boss Construction II",387,"Spencer Walsh",NA,"Competitive Open",9
"14",14,"0:39:23","In Health Seattle",116,"Nathan Minor",NA,"Veterans",2
"15",15,"0:39:34","Heath Tecna",133,"Matt Kurtis",NA,"Corporate",1
"16",16,"0:39:36","Barron Heating Legends",3,"Tony Young",NA,"Masters",1
"17",17,"0:39:56","Dot's Happy Hikers",269,NA,NA,"Competitive Open",10
"18",18,"0:40:09","Isolab",341,"Eric Sofen",NA,"Competitive Open",11
"19",19,"0:40:51","R.B. Wick's Masters Gentlemen",483,"Shaun Marshall-Pryde",NA,"Masters",2
"20",20,"0:40:59","BEAVERS TREE SERVICE",355,"Jason Gulley",NA,"Whatcom County Open",2
"21",21,"0:41:03","R.B. Wick's Warriors",436,"Randall Wick",NA,"Competitive Open",12
"22",22,"0:41:13","Snow White & the Seven Dwarfs",363,"Seven Richmond",NA,"Competitive Open",13
"23",23,"0:41:20","B'Hammocks",272,"Collin Buckley",NA,"Whatcom County Open",3
"24",24,"0:41:31","Bank of the Pacific - Competitive Open",92,"David Whitney",NA,"Competitive Open",14
"25",25,"0:41:34","Neiner Neiner Weiner",199,"troy ruckman",NA,"Competitive Open",15
"26",26,"0:41:51","Squalicum High School Portionables",499,"Chris Fredlund",NA,"High School",1
"27",27,"0:42:02","Team Harts Pass",370,"Erik Brooks",NA,"Competitive Open",16
"28",28,"0:42:07","Nitropaced",155,"Hendrik Kok",NA,"Competitive Open",17
"29",29,"0:42:22","MRSAnaries",273,"Keith Lemay",NA,"Whatcom County Open",4
"30",30,"0:42:27","Mt. Baker Ski Area Veterans",478,"Mike Morse",NA,"Veterans",3
