"","Leg Place","Elapsed Time","Team Name","Racer Name","Gender","Category","Div Place"
"1",1,"1:46:21","Barron Heating","Brad Bauer / Greg Barton","/","Competitive Open",1
"2",2,"1:48:48","Team Aeromech","Trevor Robinson / Ivan English","/","Competitive Open",2
"3",3,"1:49:23","Bank of the Pacific","Thom Prichard / Chris Cupp","/","Veterans",1
"4",4,"1:50:01","BEAVERS TREE SERVICE","Brian Boatman / David Williams","/","Whatcom County Open",1
"5",5,"1:50:04","R.B. Wick's Golden Boys","John Mooney / Tim Fisk","/","Veterans",2
"6",6,"1:50:42","Barron Heating Legends","Bob Woodman / Harry James","/","Masters",1
"7",7,"1:52:36","Clavicle3 Racing","morris arthur / brad clements","/","Masters",2
"8",8,"1:53:23","Boomer's Drive-In","Graham Smith / Ron Williams","/","Competitive Open",3
"9",9,"1:53:53","Team RE/MAX to the Max!","Real Carriere / Solomon Carriere","/","Competitive Open",4
"10",10,"1:54:09","Dirty Muffin Tops","Dan Moseley / Gabriel Starbuck","/","Whatcom County Mixed",1
"11",11,"1:54:14","NW Sleep Solutions","Mike Norton / Jim Bauer","/","Competitive Open",5
"12",12,"1:54:37","Two Cubed To Finish","Liam Price / Edoh Amiran","/","Competitive Open",6
"13",13,"1:55:03","Hunger Pains","Scott Goodall / Alex Clark","/","Competitive Open",7
"14",14,"1:55:14","Bupid Puppies","Keith Busch / Chuck Paglialunga","/","Recreational Open",1
"15",15,"1:55:29","Still Looking For A Sponsor","Ashley James / Ted Scherrer","/","Competitive Open",8
"16",16,"1:56:14","MRSAnaries","Pete Wells / Michael Lee","/","Whatcom County Open",2
"17",17,"1:56:48","R.B. Wick's Warriors","Nick Bauer / Jeff Kolka","/","Competitive Open",9
"18",18,"1:57:13","Must Beat Ash","Mike Bernemann / Rob Varnel","/","Competitive Open",10
"19",19,"1:57:35","Exxel Pacific","Geoff Stodola / Matt Stodola","/","Corporate",1
"20",20,"1:58:33","Mt Baker Veterans","Duncan Howat / Gail Howat","/","Competitive Open",11
"21",21,"1:58:59","Ralf's Pretzel Bakery - Car Free","Eric Paige / Matt Treat","/","Competitive Mixed",1
"22",22,"1:59:04","TEAM Fast and Female!","Kim Mackenzie / Helen Currey","/","Competitive Women",1
"23",23,"1:59:10","Kulshan Cycles","Veronica Wisniewski / Char Waller","/","Whatcom County Women",1
"24",24,"1:59:13","BOUNDARY BAY BREWERY","Debbie Chadwick / Deighen Blakely","/","Competitive Women",2
"25",25,"2:00:18","Well Hung Jury","Greg Fosty / Mike Baker","/","Recreational Open",2
"26",26,"2:00:32","Aven Construction","Julie Whitacre / shekinah aven","/","Whatcom County Mixed",2
"27",27,"2:00:35","Bellingham Firefighters","Christian Carson / Brian Flannelly","/","Corporate",2
"28",28,"2:00:36","Cordata Dental","Matt Shepherd / Andy Shepherd","/","Competitive Open",12
"29",29,"2:00:58","Coal train derailers","Collin Smith / Jackie Caplan-Auerbach","/","Competitive Mixed",2
"30",30,"2:01:12","Klicks Running & Walking","Alan Lipp / Eric Gerstl","/","Whatcom County Open",3
"31",31,"2:01:36","Win Or Die","Dwight Phillips / Dee Walker","/","Veterans",3
"32",32,"2:01:58","Greatest American Heroes","Rob Rogers / Beau Whitehead","/","Recreational Open",3
"33",33,"2:02:56","Whatcoms around goes around","Bruce Biddle / Brook Biddle","/","Recreational Open",4
"34",34,"2:03:18","mt.baker ski patrol d-team","Dave May / Kevin Kaiser","/","Corporate",3
"35",35,"2:03:21","Tight Genes","Jeff Boersma / Kurt Vander Griend","/","Family",1
"36",36,"2:03:39","Old Skool","Vern Heikkila / Jeff Wong","/","Masters",3
"37",37,"2:04:00","Boomer's Drive-In Mixed","Barbara Willson / Sheila Puga","/","Competitive Mixed",3
"38",38,"2:04:12","Chuckanut Brewery","Sam Stoner / Brady Lester","/","Competitive Open",13
"39",39,"2:04:15","Saturna Capitol Sister Cities Ambassadors","Steve Paul / Chris Nicolson","/","Recreational Open",5
"40",40,"2:04:36","Team Puget Sound Surgical","Jenny Henderson / Jennifer Valente","/","Corporate",4
"41",41,"2:04:39","R.B. Wick's Masters Gentlemen","Darryl Spencer / Tinh Vu","/","Masters",4
"42",41,"2:04:39","We 8 Babies","Barbara Karabin / Katrina Whiteman","/","Competitive Open",14
"43",43,"2:04:41","Nitropaced","Keith Vandergriend / Kerry Vandergriend","/","Competitive Open",15
"44",44,"2:05:25","Nooksackulous","Ben Whiddon / Marc Schwartz","/","Competitive Open",16
"45",45,"2:05:35","Aunt Janie's Roadtrip","Susan Bennerstrom / David Scherrer","/","Recreational Mixed",1
"46",46,"2:05:44","Kids on [Lactic] Acid","Brent Couvrette / William Jessen","/","Competitive Open",17
"47",47,"2:05:45","Fanatik hot-Flashes","natasha miranda / Autumn Washington","/","Whatcom County Women",2
"48",48,"2:06:07","Pass The Hat","Troy Stevenson / Tom Brethauer","/","Corporate",5
"49",49,"2:06:21","Mt. Baker Ski Patrol A Team","Uriah Brown / Tyler Thompson","/","Corporate",6
"50",50,"2:06:47","Steves' ""B"" Team","Rocky Lam / John Richardson","/","Competitive Open",18
"51",51,"2:07:34","R.B. Wick's Lady Warriors","Michele Anderson / Candace Wittenberg","/","Whatcom County Women",3
"52",52,"2:07:37","Unorthodocs","Jason Stoane / Joel Hoekema","/","Recreational Open",6
"53",53,"2:07:40","Jon Greers Stupid Face","JOHN MIRANDA / Bruce Miranda","/","Competitive Open",19
"54",54,"2:07:44","R.B. Wick's Local Warriors","Chris Wright / Matt Wright","/","Whatcom County Open",4
"55",55,"2:07:47","Deep Cove Outdoors","Linda Warren / Liliana Barrios","/","Competitive Women",3
"56",56,"2:08:00","Team Janicki Vets","Andy Bridge / John Janicki","/","Veterans",4
"57",57,"2:08:02","Neiner Neiner Weiner","Mark Snyder / Braden Gustafson","/","Competitive Open",20
"58",58,"2:08:23","The Monkey Wrench Gang","Mike Meyer / Austin Ruf","/","Competitive Open",21
"59",59,"2:08:27","CH2MHILL","Chuck Nelson / John Stocklass","/","Corporate",7
"60",60,"2:08:31","@tdcurran","John Dutton / Dan Ferguson","/","Masters",5
"61",61,"2:08:38","VanDammage","Jay Ostby / David Schlesinger","/","Competitive Open",22
"62",62,"2:08:50","Habitat for Humanity, Whatcom County","Hans Wolfisberg / Albert Siebring","/","Veterans",5
"63",63,"2:09:15","Darwin's Bulldogs","Darrell Sofield / Michael Medler","/","Competitive Open",23
"64",64,"2:09:16","Let's Take a Year Off","Kurt Fuhrmeister / Gib Morrow","/","Whatcom County Open",5
"65",65,"2:09:18","Cascade DAFO","Don Buethorn / Anne Buethorn","/","Recreational Open",7
"66",66,"2:09:42","The Wreckers","Kevin Hickey / faron clymer","/","Recreational Open",8
"67",67,"2:10:09","Toplinx One","glenn biernacki / Pat Baker","/","Veterans",6
"68",68,"2:10:29","Ski to Sea Sissies","Debbie Lackey / Paule Goodin","/","Competitive Women",4
"69",69,"2:10:38","There Better be Beer at the Bottom","Mark Miller / David Vanderhoek","/","Recreational Open",9
"70",70,"2:10:41","CrossFit X","Brook Swanson / Lisa Swanson","/","Competitive Mixed",4
"71",71,"2:10:49","Sehome UPS Store-mers","Sandi Mitchell / Tim Jollimore","/","Recreational Mixed",2
"72",72,"2:10:56","The Dukes of Haphazard","Chris Jacobs / James Honnoll","/","Recreational Open",10
"73",73,"2:11:03","Mt. Baker Ski Patrol 'C' Team","Forest Chiavario / Randy Korthuis","/","Corporate",8
"74",74,"2:11:10","The Locust Rundgrave Band Ski to Sea Race Team","Dustin Fairbrook / Michael Bakke","/","Competitive Open",24
"75",75,"2:11:30","BC Ski to Sea","Duhane Lam / Tomi Johnson","/","Recreational Mixed",3
"76",76,"2:12:48","Brooks Manufacturing","Sean Gorton / Eric Gorton","/","Competitive Open",25
"77",77,"2:12:54","Made in the Methow-Mazama Store","Malcolm Roux / Zack Guay","/","High School",1
"78",78,"2:13:04","Gardner Mountain Goats","John Rohrer / Ray Robertson","/","Veterans",7
"79",79,"2:13:10","Nomads","Casey Schau / Erin Ericson","/","Competitive Open",26
"80",80,"2:13:19","DEAFinately Awesome","Sara Weiner-Collier / Corky Collier","/","Recreational Open",11
"81",81,"2:13:49","Western Refinery Services","Mark Bayard / Jason Sylvester","/","Competitive Open",27
"82",82,"2:13:51","wild hose rides again","Kelly Stockton / Steve Hood","/","Masters",6
"83",83,"2:13:53","YD Adventures","Derek Stuart / Rich Heidecker","/","Recreational Mixed",4
