"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"1",1,"5:47:55","Boss Construction",74,"Competitive Open","Kayak",1,"Steven Corlew, Bill Torongo, Sam Johnson, Spencer Walsh, Ivan Babikov, Max Taam, Eric Moll, Steve Fisher,"
"2",2,"5:53:13","Barron Heating",35,"Competitive Open","Kayak",2,"Brad Bauer, Ray Trudgeon, Adrian Hegyvary, Phil Mitchell, Torin Koos, Morgan Titus, Rich Sprout, Aaron Bradford,"
"3",3,"6:00:04","Boss Construction, MASTERS",471,"Masters","Kayak",1,"Greg Barton, Nick Bauer, Glenn Bunselmeyer, Craig Dickson, Kent Murdoch, Chris Tolonen, Philippe Boccara, Loren Hanson,"
"4",4,"6:01:49","BAGELRY",27,"Competitive Open","Kayak",3,"Glenn Bond, Bob Woodman, Chris Teufel, Greg Crowther, Jed Hinkley, Seth Davis, Jeff Hilburn, Adam Schwind,"
"5",5,"6:02:23","clippercanoes.com",1,"Competitive Open","Kayak",4,"Ron Williams, Harry James, John Meehan, Sean Chester, Dan Roycroft, Trevor Jordan, Ian Mackenzie, Ricky Federau,"
"6",6,"6:02:53","Sportsman Chalet",60,"Competitive Open","Kayak",5,"Jeff Kolka, Deb Bauer, Todd Gallaher, John Riak, Brian Gregg, Soloman Waras, Cliff Meidl, Mark Hanson,"
"7",7,"6:03:19","BEAVERS TREE SERVICE",128,"Whatcom County Open","Kayak",1,"Brian Boatman, David Williams, Brian Ecker, Jason Gulley, Jacob Hartsoch, Brent Molsberry, Brandon Nelson, Beau Whitehead,"
"8",8,"6:05:10","RunningShoes.com",167,"Whatcom County Open","Kayak",2,"Jesse Allen, Peter Scherrer, Phil Elsasser, Sam Alexander, Steve George, Jim Clevenger, Joost Zeegers, Logan Wetzel,"
"9",9,"6:17:43","Boomer's Drive-In",18,"Competitive Open","Kayak",6,"Ty Gee, Terry Lewis, Damian Hill, Joe Creighton, Martin Rosvall, Mike Gifford, Mischa Burnett, Arnie Liati,"
"10",10,"6:20:36","Boss Construction 4 Western Football",75,"Competitive Open","Kayak",7,"Darryl Spencer, Tinh Vu, Karsten Hagen, Randall Wick, Josh Smullin, Jordan Hart, Gareth Tudor-Jones, Owen Dudley,"
"11",11,"6:21:29","POS-X",50,"Competitive Open","Kayak",8,"Gabe Puttrese, Dan Moseley, Ben Rathkamp, Dave Deschenes, Sam Naney, Jason Tedrow, Jim Nosella, Jason Porter,"
"12",12,"6:23:00","Bank of the Pacific",488,"Veterans","Kayak",1,"Chris Cupp, Thom Prichard, John Kodin, Chuck Dooley, Olav Stana, Stacy Moon, Dean Bumstead, Paul Berry,"
"13",13,"6:23:30","MRSAnaries",2,"Competitive Open","Kayak",9,"Michael Lee, Pete Wells, Nate Reiss, Josh Vander Wiele, Mike Argue, Joe Bonn, david jacobson, Ralph Weiche,"
"14",14,"6:26:38","Northwest Chiropractic, PS",489,"Veterans","Kayak",2,"Dan Cantrell, Bob McBeath, Eric Knapp, Nathan Minor, Steve Hindman, Gregg Cronn, Larry Bussinger, Ian Gerrish,"
"15",15,"6:30:41","HOMECRAFTERS NORTHWEST",166,"Whatcom County Open","Kayak",3,"Eric Gerstl, Randy Olson, Luke Pennington, Hunter Bennett, Vern Latta, Erik DeRoche, Erik Wermus, Gerry Kingslien,"
"16",16,"6:32:06","Win or Die",494,"Veterans","Kayak",3,"Dwight Phillips, Dee Walker, Alastair Lockett, Ruben Contreras, David Christopherson, Dave Gordon, Shaun Koos, Rick Heckenlaible,"
"17",17,"6:32:28","Nomad GCS",73,"Competitive Open","Kayak",10,"Will Schmautz, Roger Martens, Rich Graves, Jake Stout, Karl Hochtl, Clayton Binford, Eric Young, Dustin VanWyck,"
"18",18,"6:35:55","Tinky Winky and his Gang of Pain",21,"Competitive Open","Kayak",11,"Skip Johnson, David Bobanick, Tom Wick, Adam Braddock, Chris Queitzsch, John Berta, Donald Kiesling, Dan Hazzard,"
"19",19,"6:36:57","BOUNDARY BAY BREWERY",39,"Competitive Women","Kayak",1,"Debbie Chadwick, Deighen Blakely, Robin Secrist, Brooke Gosling, Dasha Gaiazova, sabrina harper, Tracy Landboe, Tannis Forrest,"
"20",20,"6:39:37","@tdcurran",475,"Masters","Kayak",2,"John Dutton, Dan Ferguson, Steve Poulter, Ashby Christina, Rune Harkestad, Lynn Bell, Reivers Dustin, Paul Berkshire,"
"21",21,"6:46:12","Pape Rents/Bobcat West",470,"Masters","Kayak",3,"morris arthur, brad clements, Paul Clement, jeff deWitt, Vesa Suomalainen, Jon DeWitt, john george, Jeff Cummings,"
"22",22,"6:48:50","VanDammage",62,"Competitive Open","Kayak",12,"Jay Ostby, David Schlesinger, Jon Takao, Anders Mavis, Rob Hamlin, Andreas Unterschuetz, Michael Beckman, Darrin Seeds,"
"23",23,"6:51:43","RYD-Knights of Bellingham",150,"Whatcom County Open","Kayak",4,"Patrick Mori, Andy Irwin, Brian Russell, Riley Acoba, Glenn DePeralta, Aaron Gascoigne, Andrew Nelson, Ben Mullen,"
